city,name,adress,Google Plus-Code,longitude,latitude
Lisbon,10cowork,"R. Eleutério Teixeira 10, 2825-152 Caparica, Portugal","MR77+J3 Caparica, Portugal",3866410,-918733
Lisbon,2BOFFICE,"R. Sampaio Bruno 2B, 1350-283 Lisboa, Portugal","PR8J+46 Lissabon, Portugal",3871533,-916940
Lisbon,A Dama Rosa Coworking & event space,"Praça do Príncipe Real 18, 1200-230 Lisboa, Portugal","PV82+84 Lissabon, Portugal",3871590,-914966
Lisbon,Antler,"R. Sousa Martins 15 5º Andar, 1050-122 Lisboa, Portugal","PVH3+WJ Lissabon, Portugal",3872974,-914590
Lisbon,Arrepio Colectivo at Heden Graça,"Tv. Pereira 35A, 1170-312 Lisboa, Portugal","PV8C+WF Lissabon, Portugal",3871732,-912877
Lisbon,Avila Spaces,"Av. da República 6 1º esq, 1050-191 Lisboa, Portugal","PVM4+W3 Lissabon, Portugal",3873484,-914475
Lisbon,Avila Spaces,"Praça Duque de Saldanha 1 2ºandar, 1050-094 Lisboa, Portugal","PVM4+63 Lissabon, Portugal",3873311,-914479
Lisbon,Backoffice,"R. Conselheiro Manuel Luís Fernandes 35E, 2825-031 Caparica, Portugal","MR84+M5 Caparica, Portugal",3866663,-919454
Lisbon,BECO LISBOA,"R. da Madalena 214, 1100-325 Lisboa, Portugal","PV77+7F Lissabon, Portugal",3871321,-913637
Lisbon,Best Office,"R. Visc. de Santarém 75B, 1000-286 Lisboa, Portugal","PVM5+XV Lissabon, Portugal",3873488,-914025
Lisbon,Bloom Spaces,"Tv. Teixeira Júnior 2A Floor 2, 1300-113 Lisboa, Portugal","PR3F+M6 Lissabon, Portugal",3870421,-917688
Lisbon,Canopy Lisboa,"Palacio Sotto Mayor, Av. Fontes Pereira de Melo Nº 16, 1050-010 Lisboa, Portugal","PVH2+GX Lissabon, Portugal",3872873,-914748
Lisbon,Coworking - CoworkQueluz Coworking international Space,"Largo Mouzinho de Albuquerque 17, 2745-206 Queluz, Portugal","QP2R+WX Queluz, Portugal",3875234,-925755
Lisbon,Coworking Business Networking Lounge,"R. Mário Gomes Páscoa 8C, 1600-824 Lisboa, Portugal","QR2H+M9 Lissabon, Portugal",3875165,-917159
Lisbon,DeBru Craft Beer,"R. Luciano Cordeiro 2C, 1150-313 Lisboa, Portugal","PVF4+9X Lissabon, Portugal",3872346,-914253
